wave,lnwage,sex,expf,expfsq,expp,exppsq,edyrs,colldeg,advdeg,msa,region,racehisp,union,govt,ind,occ,mgrocc,profocc,maleprofaer,wght
1981,2.670489549636841,male,12,144,0,0,17,1,0,1,northeast,whitenh,0,0,finance,sales,0,0,0,17
2009,2.8907785415649414,male,38,1444,1,1,12,0,0,1,northeast,blacknh,0,0,enterntainment,production,0,0,0,6.565000057220459
1999,2.3369204998016357,male,30,900,0,0,12,0,0,0,midwest,whitenh,0,0,wholesale,transport,0,0,0,25.972999572753906
1990,2.9094772338867188,male,8,64,0,0,12,0,0,0,south,whitenh,0,0,nondurables,production,0,0,0,14.819000244140625
2011,3.1747045516967773,male,6,36,9,81,18,0,1,1,northeast,whitenh,0,1,medical,healthcare,0,1,1,38.87799835205078
2007,3.459834098815918,male,16,256,1,1,14,0,0,1,northeast,whitenh,0,0,retail,construct,0,0,0,31.572999954223633
1990,3.0268139839172363,male,3,9,26,676,13,0,0,1,northeast,whitenh,0,0,nondurables,production,0,0,0,18.709999084472656
1981,2.978706121444702,male,12,144,0,0,17,1,0,0,northeast,whitenh,0,0,durables,architect,0,1,1,22
2007,3.0074570178985596,male,32,1024,0,0,12,0,0,0,northeast,whitenh,1,1,education,building,0,0,0,29.417999267578125
2007,3.227747678756714,male,16,256,1,1,12,0,0,0,south,whitenh,0,0,miningconstruction,construct,0,0,0,22.499000549316406
1999,2.94343638420105,male,5,25,2,4,16,1,0,1,west,whitenh,0,0,retail,managerial,1,0,0,26.08099937438965
1981,3.3716230392456055,male,19,361,4,16,16,1,0,1,northeast,blacknh,1,0,communications,sales,0,0,0,2
1999,3.1132078170776367,male,29,841,0,0,13,0,0,0,west,whitenh,0,0,durables,managerial,1,0,0,38.23899841308594
2011,2.599836587905884,male,8.896974563598633,79.15615638532108,2.103025436401367,4.422715986151161,12,0,0,1,west,whitenh,1,0,medical,healthsupport,0,0,0,6.9029998779296875
1999,3.1345813274383545,male,27,729,0,0,12,0,0,0,south,blacknh,1,0,transport,production,0,0,0,4.863999843597412
1990,3.2661521434783936,male,11,121,0,0,12,0,0,0,northeast,whitenh,1,0,miningconstruction,construct,0,0,0,21.902000427246094
1999,2.7259364128112793,male,15,225,0,0,12,0,0,0,midwest,whitenh,0,0,nondurables,transport,0,0,0,23.841999053955078
2007,3.5551443099975586,male,19,361,0,0,17,0,0,1,south,blacknh,1,1,admin,admin,0,0,0,1.6929999589920044
1999,2.9826884269714355,male,5,25,4,16,16,1,0,0,west,whitenh,0,0,communications,managerial,1,0,0,52.99599838256836
